date,majority_sentiment,average_sentiment
2007-10-03,neutral,0.7823508977890015
2007-12-05,neutral,0.669374406337738
2008-01-16,neutral,0.8733764886856079
2008-02-13,neutral,0.7500852346420288
2008-02-27,neutral,0.8142646551132202
2008-03-05,negative,0.7700558006763458
2008-03-18,negative,0.6703161299228668
2008-03-26,neutral,0.8317903280258179
2008-04-02,neutral,0.8797126412391663
2008-04-09,neutral,0.8140983432531357
2008-04-10,neutral,0.8611499667167664
2008-04-14,neutral,0.8266715407371521
2008-04-15,negative,0.8542305827140808
2008-04-16,positive,0.9021100401878357
2008-04-17,neutral,0.8802316784858704
2008-04-18,negative,0.5354034304618835
2008-04-21,neutral,0.9078760147094727
2008-04-22,neutral,0.8605573773384094
2008-04-23,neutral,0.7993953227996826
2008-04-25,negative,0.8596327304840088
2008-04-28,neutral,0.9202965497970581
2008-04-29,neutral,0.7819428443908691
2008-05-05,positive,0.7486905455589294
2008-05-06,positive,0.9291515946388245
2008-05-07,neutral,0.7993941803773245
2008-05-09,neutral,0.915485680103302
2008-05-14,negative,0.7488095561663309
2008-05-16,neutral,0.8792143762111664
2008-05-19,neutral,0.8594797253608704
2008-05-21,positive,0.7976271907488505
2008-05-22,neutral,0.5934070348739624
2008-05-28,neutral,0.871525451540947
2008-05-29,neutral,0.8819383978843689
2008-06-02,neutral,0.8392726182937622
2008-06-03,neutral,0.8830481767654419
2008-06-04,negative,0.9063772857189178
2008-06-06,positive,0.5180107355117798
2008-06-11,neutral,0.8398006161053976
2008-06-13,neutral,0.9011409878730774
2008-06-16,negative,0.6112551689147949
2008-06-18,neutral,0.867301881313324
2008-06-19,neutral,0.7719001968701681
2008-06-20,negative,0.5268036723136902
2008-06-24,positive,0.5978097319602966
2008-06-25,negative,0.6934440433979034
2008-06-26,neutral,0.868444561958313
2008-06-27,negative,0.9657057523727417
2008-06-30,positive,0.6926455497741699
2008-07-03,neutral,0.8790283799171448
2008-07-07,positive,0.5611969232559204
2008-07-08,neutral,0.6618755906820297
2008-07-09,neutral,0.8177927732467651
2008-07-14,neutral,0.71952885389328
2008-07-16,neutral,0.841840836736891
2008-07-18,neutral,0.8619672060012817
2008-07-21,neutral,0.8627771735191345
2008-07-23,neutral,0.8421761155128479
2008-07-25,neutral,0.8343724608421326
2008-07-28,positive,0.8307165503501892
2008-07-30,neutral,0.7897974976471492
2008-07-31,positive,0.8821346163749695
2008-08-04,positive,0.5712241530418396
2008-08-05,negative,0.7200301289558411
2008-08-06,positive,0.6364833116531372
2008-08-07,positive,0.7911188900470734
2008-08-08,neutral,0.9460830688476562
2008-08-14,neutral,0.9206031858921051
2008-08-25,neutral,0.8983794450759888
